Name,description,image,link
Apache Spark,빅데이터 처리 엔진,https://img.stackshare.io/service/2220/ca72c4715da998b0bf5d1c857958bed3.png,https://spark.apache.org
Apache Storm,실시간 계산 시스템,https://img.stackshare.io/service/1595/WC8j4Gr3.png,https://storm.apache.org
Apache Tomcat,Java 서블릿 컨테이너,https://img.stackshare.io/service/1187/tomcat.png,http://tomcat.apache.org
Apache Traffic Server,캐싱 프록시 서버,https://img.stackshare.io/service/6131/d2e0cf243d2a576d95fd70b82ddc79dc_400x400.png,http://trafficserver.apache.org
Apache Zeppelin,Apache Zeppelin 개발 도구 및 기술,https://img.stackshare.io/service/3659/NukVX4E1_400x400.png,https://zeppelin.incubator.apache.org
Apex,Salesforce 프로그래밍 언어,https://img.stackshare.io/service/4301/10543471.png,https://github.com/apex/apex
Apiary,API 디자인 및 문서화,https://img.stackshare.io/service/272/7b176017eab2903a23d914460b6dd600.jpeg,http://apiary.io
Apigee,API 관리 플랫폼,https://img.stackshare.io/service/4215/6f72b788786c25b956aac477099a23ed_400x400.png,https://apigee.com
Apollo,GraphQL 플랫폼,https://img.stackshare.io/service/5508/CyUH653y.png,https://www.apollographql.com
AppDynamics,애플리케이션 성능 관리,https://img.stackshare.io/service/105/C0eOfY-7.png,https://www.appdynamics.com
Appium,모바일 앱 자동화 테스팅,https://img.stackshare.io/service/2855/0KVJyYNC_400x400.jpg,http://appium.io
ArangoDB,다중 모델 NoSQL 데이터베이스,https://img.stackshare.io/service/1440/iFN2XAaA.png,https://www.arangodb.com
Arch Linux,경량 유연한 Linux,https://img.stackshare.io/service/2635/arch_linux.png,https://www.archlinux.org
Arduino,오픈소스 전자 플랫폼,https://img.stackshare.io/service/3195/9d19310763171b0d958d23a18b3d7e1c.png,http://www.arduino.cc
Argo,Kubernetes 네이티브 워크플로우,https://img.stackshare.io/service/9840/PqKLmP_S_400x400.jpg,https://argoproj.github.io
ASP.NET,Microsoft의 웹 애플리케이션 프레임워크,https://img.stackshare.io/service/6755/2c45151a4a11d3a3c8e71bb34dd069d6_400x400.png,https://www.asp.net
Assembly Language,기계어에 가까운 저수준 프로그래밍 언어,https://img.stackshare.io/service/4934/default_71f18bbdc61fb88cefb66415bb55dc6f1e60e5ec.png,https://en.wikipedia.org/wiki/Assembly_language
Atom,GitHub의 해커블 텍스트 에디터,https://img.stackshare.io/service/648/default_92414794b88a328cecc4ae62413ea91ea0593726.png,http://atom.io
Aurelia,JavaScript 클라이언트 프레임워크,https://img.stackshare.io/service/2975/9808864.png,http://aurelia.io
Auth0,인증 및 권한 부여 플랫폼,https://img.stackshare.io/service/601/5Nm3jtVh.jpeg,https://auth0.com
Autoprefixer,CSS 자동 벤더 프리픽스,https://img.stackshare.io/service/2202/72d087642cfce6fef6f2dabec5bf49e8_400x400.png,https://github.com/postcss/autoprefixer
AWS Amplify,풀스택 애플리케이션 개발 플랫폼,https://img.stackshare.io/no-img-open-source.png,https://github.com/aws/aws-amplify
AWS CloudFormation,인프라 템플릿,https://img.stackshare.io/service/411/aws-cloudformation.png,http://aws.amazon.com/cloudformation
AWS CloudTrail,AWS API 활동 로깅,https://img.stackshare.io/service/415/aws-cloudtrail.png,http://aws.amazon.com/cloudtrail
AWS CodeBuild,관리형 빌드 서비스,https://img.stackshare.io/service/6086/aws-codebuild.png,https://aws.amazon.com/codebuild
AWS CodeCommit,AWS Git 저장소,https://img.stackshare.io/service/3298/aws-codecommit.png,https://aws.amazon.com/codecommit
AWS CodeDeploy,자동화된 배포 서비스,https://img.stackshare.io/service/1888/aws-codedeploy.png,http://aws.amazon.com/codedeploy
AWS CodePipeline,CI/CD 파이프라인 서비스,https://img.stackshare.io/service/3297/aws-codepipeline.png,https://aws.amazon.com/codepipeline
AWS Elastic Beanstalk,애플리케이션 배포 및 관리 서비스,https://img.stackshare.io/service/210/aws-elastic-beanstalk.png,http://aws.amazon.com/elasticbeanstalk
AWS Elastic Load Balancing (ELB),AWS 로드 밸런서,https://img.stackshare.io/service/2587/aws-elastic-load-balancing.png,http://aws.amazon.com/elasticloadbalancing
AWS Glue,AWS 데이터 통합 서비스,https://img.stackshare.io/service/8906/AWS-Glue_4x.png,https://aws.amazon.com/glue
AWS Lambda,서버리스 컴퓨팅 서비스,https://img.stackshare.io/service/1909/aws-lambda.png,http://aws.amazon.com/lambda
AWS Step Functions,서버리스 워크플로우 오케스트레이션,https://img.stackshare.io/service/6089/SWF-e64610d24b6e458c257f1105d8aa926f4a524182.png,https://aws.amazon.com/step-functions
Azure Active Directory,Azure ID 및 액세스 관리,https://img.stackshare.io/service/6346/icon.png,https://azure.microsoft.com/en-us/services/active-directory
Azure App Service,Azure 웹 앱 호스팅,https://img.stackshare.io/service/5544/azure-app-service.png,https://azure.microsoft.com/en-us/services/app-service
Azure Application Insights,Azure 애플리케이션 모니터링,https://img.stackshare.io/service/6336/default_b24de6c7b9f34963f320f2d61efaf87dcbb7327a.png,https://docs.microsoft.com/en-us/azure/azure-monitor/app/app-insights-overview
Azure Cosmos DB,Azure의 전역 분산 데이터베이스,https://img.stackshare.io/service/1369/nquiptD9.png,https://azure.microsoft.com/en-us/services/cosmos-db
Azure Data Factory,Azure 데이터 통합 서비스,https://img.stackshare.io/service/6356/sni_tf5H_400x400.jpg,https://azure.microsoft.com/en-us/services/data-factory
Azure Databricks,Azure 분석 플랫폼,https://img.stackshare.io/service/10345/ADB.png,https://azure.microsoft.com/en-us/services/databricks
Azure DevOps,개발자 서비스,https://img.stackshare.io/service/4313/XNKktHjN_400x400.png,https://visualstudio.microsoft.com/team-services
Azure Functions,Azure 서버리스 함수,https://img.stackshare.io/service/4851/default_1c86e0d45d685cb73aa9a39a658159f6199de49d.png,https://azure.microsoft.com/en-us/services/functions
Azure Kubernetes Service,Azure 관리형 Kubernetes,https://img.stackshare.io/service/9133/Azure-Container-Service_COLOR-300x300.png,https://azure.microsoft.com/en-us/services/kubernetes-service
Azure Machine Learning,Azure ML 플랫폼,https://img.stackshare.io/service/1221/azure-machine-learning.png,http://azure.microsoft.com/en-us/services/machine-learning
Azure Pipelines,CI/CD 서비스,https://img.stackshare.io/service/10164/528389819366_e7a0672f0480b3e98d21_512.png,https://azure.microsoft.com/ko-kr/services/devops/pipelines
Azure Service Bus,Azure 메시징 서비스,https://img.stackshare.io/service/3980/Azure-Service-Bus.png,https://azure.microsoft.com/en-us/services/service-bus
Azure SQL Database,Azure 관리형 SQL 데이터베이스,https://img.stackshare.io/service/3433/OJB_wH-7_400x400.jpg,http://azure.microsoft.com/en-us/services/sql-database
Azure Storage,Azure 클라우드 스토리지,https://img.stackshare.io/service/2099/azureStorage.png,http://azure.microsoft.com/en-us/services/storage
Azure Websites,Azure 웹 사이트 호스팅 서비스,https://img.stackshare.io/service/2100/W9gT7hZo.png,http://azure.microsoft.com/en-us/services/websites
Babel,JavaScript 트랜스파일러,https://img.stackshare.io/service/2739/-1wfGjNw.png,http://babeljs.io
Babylon.js,웹 3D 엔진,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW5BbCkIrbydNms3teZaN4TpEWE39_vRgqZw&s,https://www.babylonjs.com/
Backbone.js,JavaScript MVC 프레임워크,https://img.stackshare.io/service/1017/Screen_Shot_2012-04-28_at_8.52.15_PM.png,http://backbonejs.org
Bamboo,Atlassian CI 서버,https://img.stackshare.io/service/1729/bamboo.png,https://www.atlassian.com/software/bamboo
Bazel,빌드 및 테스트 도구,https://img.stackshare.io/service/2697/default_85ab1999fe6310acaeece180990057d2e9ebfb3a.jpg,http://bazel.io
Bitbucket,Atlassian의 Git 저장소 호스팅 서비스,https://img.stackshare.io/service/28/35O2KIRX_400x400.jpg,https://bitbucket.org
Bitbucket Pipelines,Bitbucket CI/CD,https://img.stackshare.io/service/7452/35O2KIRX_400x400.jpg,https://bitbucket.org/product/features/pipelines
Bitrise,모바일 CI/CD,https://img.stackshare.io/service/2686/wFlFGsF3_400x400.jpg,http://bitrise.io
bitwarden,오픈소스 비밀번호 관리자,https://img.stackshare.io/service/5853/Wkb7Syl9_400x400.jpg,https://bitwarden.com
Blazor,.NET 웹 프레임워크,https://img.stackshare.io/service/8436/BrandBlazor_nohalo_1000x.png,https://github.com/aspnet/Blazor
Blender,3D 제작 소프트웨어,https://img.stackshare.io/service/4008/default_6881268b7b648c93220623333752e32de98d7953.jpg,https://www.blender.org
Blockchain,분산 원장 기술,https://img.stackshare.io/service/10608/default_2e4e6445d2b6326eb7c7748f17ae5109a99121fc.png,https://www.blockchain.com
boot2docker,경량 Docker 환경,https://img.stackshare.io/service/773/6394678.png,http://boot2docker.github.io
Bootloader,부트로더,,https://source.android.com/docs/core/architecture/bootloader?hl=ko
Bootsnap,Ruby/Rails 부팅 최적화,https://img.stackshare.io/no-img-open-source.png,https://github.com/shopify/bootsnap
Bootstrap,인기있는 CSS 프레임워크,https://img.stackshare.io/service/1101/C9QJ7V3X.png,http://getbootstrap.com
Bugsnag,에러 모니터링 플랫폼,https://img.stackshare.io/service/150/square-logo-small-midnight.png,https://www.bugsnag.com
Buildroot,임베디드 Linux 빌드 시스템,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBe66vzN5flzCZHGn6QAs9QHy-LdtU5QQ0LQ&s,https://buildroot.org/docs.html
Burp Suite,웹 보안 테스팅 도구,https://ptdts.co.id/assets/img/product/Burpsuite/Burpsuite-logo.jpg,https://portswigger.net/burp
C lang,시스템 프로그래밍을 위한 저수준 언어,https://img.stackshare.io/no-img-open-source.png,http://en.wikipedia.org/wiki/C_(programming_language)
C#,Microsoft가 개발한 객체지향 프로그래밍 언어,https://img.stackshare.io/service/1015/1200px-C_Sharp_wordmark.svg.png,http://csharp.net
C++,C의 확장으로 객체지향을 지원하는 언어,https://img.stackshare.io/service/1049/cplusplus.png,http://www.cplusplus.com
C3.js,D3 기반 재사용 가능한 차트 라이브러리,https://img.stackshare.io/no-img-open-source.png,http://c3js.org
Capybara,Ruby 웹 애플리케이션 테스트 프레임워크,https://img.stackshare.io/service/2595/capybara.png,http://jnicklas.github.io/capybara
Cassandra,분산형 NoSQL 데이터베이스,https://img.stackshare.io/service/1032/cassandra_small.png,http://cassandra.apache.org
Celery,Python 비동기 작업 큐,https://img.stackshare.io/service/1075/celery.png,http://www.celeryproject.org
Chart.js,간단한 차트 라이브러리,https://img.stackshare.io/service/3866/_GD1-XrU_400x400.jpg,http://www.chartjs.org
Chartbeat,실시간 분석 도구,https://img.stackshare.io/service/111/ytX4f5ny_400x400.jpg,http://chartbeat.com
Chartio,클라우드 BI 플랫폼,https://img.stackshare.io/service/9/TtrFaQ3j_400x400.png,https://chartio.com
CircleCI,CI/CD 플랫폼,https://img.stackshare.io/service/190/CvqrSSFs_400x400.jpg,https://circleci.com
Clicky,실시간 웹 분석,https://img.stackshare.io/service/65/clicky.gif,http://getclicky.com
CloudFlare,DNS 및 보안 서비스,https://img.stackshare.io/service/15/twitter-profile-400x400.png,http://www.cloudflare.com
Cobol,비즈니스 프로그래밍 언어,,
CockroachDB,분산 SQL 데이터베이스,https://img.stackshare.io/service/7260/default_e971350de38efca4ebed24e8682c82703629a4e3.png,https://www.cockroachlabs.com
CocoaPods,iOS 의존성 관리자,https://img.stackshare.io/service/2426/e1cbdef9d4b11484049a033886578e54_400x400.png,https://cocoapods.org
Cocos2d-x,크로스 플랫폼 게임 프레임워크,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ4l31QKbbC_KhhxVT-nczFpEyYaaRZWNUdpw&s,https://www.cocos.com/en/cocos2d-x
Codacy,자동화된 코드 리뷰,https://img.stackshare.io/service/866/default_3252d282a3e0bdac472b0eb745cd8d415480559c.jpg,https://www.codacy.com
Code Climate,코드 품질 분석 플랫폼,https://img.stackshare.io/service/305/KFgYaUkK.png,https://codeclimate.com
Codecov,코드 커버리지 도구,https://img.stackshare.io/service/2673/Codecov_Mark_Circle_Pink.png,https://codecov.io
CodeIgniter,PHP 프레임워크,https://img.stackshare.io/service/1195/ci_logo.png,http://ellislab.com/codeigniter
CodeMirror,브라우저 코드 에디터,https://img.stackshare.io/service/2490/E_fCaAi6.png,http://codemirror.net
Codeship,CI/CD 플랫폼,https://img.stackshare.io/service/224/avatar_codeship_colour.png,https://codeship.com
Concourse,CI 시스템,https://img.stackshare.io/service/4949/jnsjSQcw_400x400.jpg,https://concourse-ci.org
Contentful,Headless CMS,https://img.stackshare.io/service/672/default_622e25ec0417ac85db5b66ca399528b101ba284f.png,https://www.contentful.com
Cordova,"Apache Cordova, 하이브리드 모바일 앱 플랫폼",,
Couchbase,분산 NoSQL 클라우드 데이터베이스,https://img.stackshare.io/service/1089/KMIbGY8C.png,http://www.couchbase.com
CouchDB,문서 지향 NoSQL 데이터베이스,https://img.stackshare.io/service/1042/default_86434292d1c55e5f3a3256ca2bc6e2ea62eaca83.jpg,http://couchdb.apache.org
Cowboy,Erlang HTTP 서버,https://img.stackshare.io/service/2738/1166740.png,https://github.com/ninenines/cowboy
Cpanel,웹 호스팅 제어판,,
Crashlytics,모바일 앱 크래시 리포팅,https://img.stackshare.io/service/264/Q3LJPRGx.png,http://crashlytics.com
Crazy Egg,히트맵 및 A/B 테스팅,https://img.stackshare.io/service/66/crazyegg_logo_avatar.png,http://www.crazyegg.com
CSS 3,최신 CSS 표준,https://img.stackshare.io/service/6727/css.png,https://developer.mozilla.org/en-US/docs/Web/CSS/CSS3
css-loader,Webpack CSS 로더,https://img.stackshare.io/service/8074/default_d2b16fd6997fb2e164de645a34f9b8d5a880d999.png,https://github.com/webpack-contrib/css-loader
Cucumber,BDD 테스팅 프레임워크,https://img.stackshare.io/service/2544/jasVAxyJ.png,https://cukes.info
CUDA,NVIDIA GPU 병렬 컴퓨팅 플랫폼,https://img.stackshare.io/service/2836/LUOWehvo_400x400.jpeg,http://www.nvidia.com/object/cuda_home_new.html
cURL,URL 전송 도구,https://img.stackshare.io/service/6552/curl-logo.png,http://curl.haxx.se
Cypress,프론트엔드 E2E 테스팅 도구,https://img.stackshare.io/service/9231/default_66c5c1a197dcd0232e41e4ab6299d119b4e165b3.png,https://www.cypress.io
D,C++의 대안으로 설계된 시스템 프로그래밍 언어,https://img.stackshare.io/service/3117/d-5.png,http://dlang.org
D3.js,데이터 시각화 라이브러리,https://img.stackshare.io/service/1491/HgKolWB5_400x400.jpg,http://d3js.org
Dart,Flutter 프레임워크를 위한 언어,https://img.stackshare.io/service/1646/Twitter-02.png,https://www.dartlang.org
Dash,API 문서 브라우저,https://img.stackshare.io/service/2405/HB_dh5cX.png,http://kapeli.com/dash
Databricks,통합 분석 플랫폼,https://img.stackshare.io/service/9655/H9_HWdcr_400x400.jpg,https://databricks.com
Datadog,모니터링 및 분석 플랫폼,https://img.stackshare.io/service/669/default_34b3b9b42d07c33ac47ecdff75dd6f4f82aa70ee.jpg,https://www.datadoghq.com/lpg
Dataform,데이터 모델링 플랫폼,https://img.stackshare.io/service/11236/Group_22__3_.png,https://dataform.co
DBeaver,유니버설 데이터베이스 도구,https://img.stackshare.io/service/3107/D0pB_eET_400x400.jpg,http://dbeaver.jkiss.org
Deno,Deno 개발 도구 및 기술,https://img.stackshare.io/service/10504/R7KWwsyG_400x400.png,https://deno.land
Device Driver,하드웨어 제어 소프트웨어,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ99qD-tmMMKJnXzPGCq9G0K0-oo3VACuhmvQ&s,https://learn.microsoft.com/ko-kr/windows-hardware/drivers/usbcon/usb-driver-development-guide
Django,Python 기반 고수준 웹 프레임워크,https://img.stackshare.io/service/994/4aGjtNQv.png,https://www.djangoproject.com
Django REST framework,Django REST framework 개발 도구 및 기술,https://img.stackshare.io/service/1630/New_Project__67_.png,http://www.django-rest-framework.org
Docker,컨테이너 기반 가상화 플랫폼,https://img.stackshare.io/service/586/n4u37v9t_400x400.png,https://www.docker.com
Docker Hub,Docker 이미지 레지스트리,https://img.stackshare.io/service/3613/3SqWkwQA_400x400.png,https://hub.docker.com
Docker Swarm,Docker 클러스터링,https://img.stackshare.io/service/3177/preview.png,https://github.com/docker/swarm
Drone.io,컨테이너 네이티브 CI,https://img.stackshare.io/service/668/R_wMcCqN_400x400.png,https://drone.io
Dropwizard,Java RESTful 웹 서비스 프레임워크,https://img.stackshare.io/service/2210/KGguccbW.png,http://dropwizard.io
Druid,실시간 분석 데이터베이스,https://img.stackshare.io/service/3922/F65UpOhT.png,http://druid.io
Echo,Go 언어 고성능 웹 프레임워크,https://img.stackshare.io/service/4996/9P0MlumU_400x400.jpg,https://echo.labstack.com
Edge AI (TinyML),엣지 디바이스 머신러닝,https://edge-ai-tech.eu/wp-content/uploads/2023/01/KDT-JU-EdgeAI_Logo_Transparent.png,https://docs.openedgeplatform.intel.com/dev/ai-libraries.html
Elasticsearch,검색 및 분석 엔진,https://img.stackshare.io/service/841/Image_2019-05-20_at_4.58.04_PM.png,https://www.elastic.co/products/elasticsearch
Elementor,WordPress 페이지 빌더,https://img.stackshare.io/service/9785/default_dbe74a5428e4fcf710778a6d102676be30e60b76.png,https://elementor.com
ELK,"Elasticsearch, Logstash, Kibana 스택",https://img.stackshare.io/service/1883/EmPbn9P0_400x400.png,http://elasticsearch.org
Ember.js,생산성 높은 JavaScript 프레임워크,https://img.stackshare.io/service/1018/3s1seyc0csl75btyw1vl.png,http://emberjs.com
ent,Go 엔티티 프레임워크,https://img.stackshare.io/service/21146/default_3b393819f74c4cb10f98fa9e683fa28cf6cc85f5.png,https://entgo.io
Erlang,동시성과 분산 처리에 강한 함수형 언어,https://img.stackshare.io/service/1004/cbdf77412da183e43d41c0c0f9a7005a.jpeg,http://www.erlang.org
ESLint,JavaScript 린팅 도구,https://img.stackshare.io/service/3337/Q4L7Jncy.jpg,http://eslint.org
ExpressJS,Node.js 웹 애플리케이션 프레임워크,https://img.stackshare.io/service/1163/hashtag.png,http://expressjs.com
F#,.NET 플랫폼의 함수형 프로그래밍 언어,https://img.stackshare.io/service/2155/yRNL7yTW.png,http://fsharp.org
Fabric,Fabric 개발 도구 및 기술,https://img.stackshare.io/service/662/79c2d43ca09b8321909833f37a500799.png,http://fabfile.org
Falco,클라우드 네이티브 런타임 보안,https://img1.daumcdn.net/thumb/R800x0/?scode=mtistory2&fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdna%2FebVdhH%2FbtsOdEomRiq%2FAAAAAAAAAAAAAAAAAAAAAHPtHP9wBcO6iIsrJYrgRy4KGkZUQvHeCLpdVkRtylU3%2Fimg.png%3Fcredential%3DyqXZFxpELC7KVnFOS48ylbz2pIh7yKj8%26expires%3D1769871599%26allow_ip%3D%26allow_referer%3D%26signature%3D4zv20DP7eXMKyRCuvT5IAZaeWLI%253D,https://falco.org/
FastAPI,Python 비동기 웹 프레임워크,https://img.stackshare.io/service/25014/default_f6ff39141b468e832d1bc59fc98a060df604d44d.png,https://fastapi.tiangolo.com
FeathersJS,실시간 애플리케이션을 위한 Node.js 프레임워크,https://img.stackshare.io/service/3448/5321853.png,http://feathersjs.com
FFMPEG,멀티미디어 처리 프레임워크,https://img.stackshare.io/service/4784/ugIX8eBN_normal.png,https://www.ffmpeg.org
FindBugs,Java 버그 패턴 탐지기,https://img.stackshare.io/service/2662/kWjFjx3K_400x400.jpg,http://findbugs.sourceforge.net
Firebase,Firebase 개발 도구 및 기술,https://img.stackshare.io/service/116/cZLxNFZS.jpg,https://firebase.google.com
Firebase Authentication,Firebase 인증 서비스,https://img.stackshare.io/service/9155/unnamed.jpg,https://firebase.google.com/docs/auth
